area_id,weight,weight_perc2.5,weight_perc25,weight_perc50,weight_perc75,weight_perc97.5,weight_std,weight_ci95,volume,volume_perc2.5,volume_perc25,volume_perc50,volume_perc75,volume_perc97.5,volume_std,volume_ci95,fat,fat_perc2.5,fat_perc25,fat_perc50,fat_perc75,fat_perc97.5,fat_std,fat_ci95,saturate,saturate_perc2.5,saturate_perc25,saturate_perc50,saturate_perc75,saturate_perc97.5,saturate_std,saturate_ci95,salt,salt_perc2.5,salt_perc25,salt_perc50,salt_perc75,salt_perc97.5,salt_std,salt_ci95,sugar,sugar_perc2.5,sugar_perc25,sugar_perc50,sugar_perc75,sugar_perc97.5,sugar_std,sugar_ci95,protein,protein_perc2.5,protein_perc25,protein_perc50,protein_perc75,protein_perc97.5,protein_std,protein_ci95,carb,carb_perc2.5,carb_perc25,carb_perc50,carb_perc75,carb_perc97.5,carb_std,carb_ci95,fibre,fibre_perc2.5,fibre_perc25,fibre_perc50,fibre_perc75,fibre_perc97.5,fibre_std,fibre_ci95,alcohol,alcohol_perc2.5,alcohol_perc25,alcohol_perc50,alcohol_perc75,alcohol_perc97.5,alcohol_std,alcohol_ci95,energy_fat,energy_fat_perc2.5,energy_fat_perc25,energy_fat_perc50,energy_fat_perc75,energy_fat_perc97.5,energy_fat_std,energy_fat_ci95,energy_saturate,energy_saturate_perc2.5,energy_saturate_perc25,energy_saturate_perc50,energy_saturate_perc75,energy_saturate_perc97.5,energy_saturate_std,energy_saturate_ci95,energy_sugar,energy_sugar_perc2.5,energy_sugar_perc25,energy_sugar_perc50,energy_sugar_perc75,energy_sugar_perc97.5,energy_sugar_std,energy_sugar_ci95,energy_protein,energy_protein_perc2.5,energy_protein_perc25,energy_protein_perc50,energy_protein_perc75,energy_protein_perc97.5,energy_protein_std,energy_protein_ci95,energy_carb,energy_carb_perc2.5,energy_carb_perc25,energy_carb_perc50,energy_carb_perc75,energy_carb_perc97.5,energy_carb_std,energy_carb_ci95,energy_fibre,energy_fibre_perc2.5,energy_fibre_perc25,energy_fibre_perc50,energy_fibre_perc75,energy_fibre_perc97.5,energy_fibre_std,energy_fibre_ci95,energy_alcohol,energy_alcohol_perc2.5,energy_alcohol_perc25,energy_alcohol_perc50,energy_alcohol_perc75,energy_alcohol_perc97.5,energy_alcohol_std,energy_alcohol_ci95,energy_tot,energy_tot_perc2.5,energy_tot_perc25,energy_tot_perc50,energy_tot_perc75,energy_tot_perc97.5,energy_tot_std,energy_tot_ci95,f_energy_fat,f_energy_saturate,f_energy_sugar,f_energy_protein,f_energy_carb,f_energy_fibre,f_energy_alcohol,energy_density,h_nutrients_weight,h_nutrients_weight_norm,h_nutrients_calories,h_nutrients_calories_norm,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,h_items,h_items_norm,h_items_weight,h_items_weight_norm,representativeness_norm,transaction_days,num_transactions,man_day,population,male,female,age_0_17,age_18_64,age_65+,avg_age,area_sq_km,people_per_sq_km
E05000026,449.5351369,32.5,166.4,300,500,1500,771.3494228,3.716832404,125.9608334,11,45,90,200,340.8,114.8921183,1.127239184,9.488797311,0,0.2,2.4,14.1,50.5,15.11965546,0.057528742,3.693720969,0,0.1,0.8,4.3,21,6.714924599,0.025549601,0.583240306,0,0.01,0.2,0.8,2.4,2.239420003,0.008520764,10.96621296,0,1.4,4.4,11.8,58.5,16.63640483,0.063299818,4.977559987,0,0.4,2.8,7.6,23.4,6.156283765,0.02342403,19.38195103,0,0.3,8.2,32.2,73.5,23.85931525,0.090782253,1.564721101,0,0,1,2.2,7.3,2.323645135,0.008841232,0.198171575,0,0,0,0,0,1.692996658,0.006441679,85.3991758,0,1.8,21.6,126.9,454.5,136.0768992,0.517758676,33.24348872,0,0.9,7.2,38.7,189,60.43432139,0.229946409,43.86485184,0,5.6,17.6,47.2,234,66.54561932,0.253199272,19.91023995,0,1.6,11.2,30.4,93.6,24.62513506,0.093696119,77.52780413,0,1.2,32.8,128.8,294,95.43726102,0.363129012,2.890335824,0,0,1.6,4.4,14.4,4.436731381,0.016881309,1.387201024,0,0,0,0,0,11.8509766,0.045091753,187.1147567,0,41.2,118.2,298.3,591,181.8329079,0.691855607,0.456400004,0.17766364,0.234427538,0.106406573,0.414332923,0.015446862,0.007413638,0.416240559,1.622629678,0.698828565,1.532484748,0.660005257,0.01072688,0.101748,0.012308042,0.032802487,0.018363478,0.254950138,0.149914685,0.043116066,0.018481022,0.058700186,0.012436962,0.043737914,0.004656277,0.181253555,0.005945475,0.042941645,0.007917188,0.05465074,0.032858663,0.027752206,0.017015444,0.338611109,0.271555341,0.045860963,0.04351176,0.044451674,0.012713054,0.111019045,3.259651566,0.797475523,2.706813013,0.782444434,0.30420591,364,405148,37315,14370,7469,6901,4211,9421,738,29.5729993,1.26,11404.7619
E05000027,413.1302626,32.5,150,300,500,1500,626.3951776,5.164174139,110.6641136,15,40,75,150,340.8,106.2637958,1.918890067,9.733633704,0,0.2,2.4,14.4,51,15.59589552,0.102110757,3.565912783,0,0.1,0.8,4.1,20,6.323772382,0.041403534,0.568184345,0,0.01,0.2,0.8,2.4,1.539048187,0.010076586,10.51442731,0,1.2,3.8,11.4,58.5,16.58842942,0.108609158,5.211694452,0,0.4,2.9,7.8,23.5,6.369975,0.041706035,18.95034815,0,0.2,8.2,29,73.2,23.48089309,0.153736075,1.581960476,0,0,1,2.2,7.8,2.376200741,0.015557661,0.209917426,0,0,0,0,1,1.776523063,0.011631401,87.60270333,0,1.8,21.6,129.6,459,140.3630597,0.918996814,32.09321505,0,0.9,7.2,36.9,180,56.91395144,0.372631803,42.05770925,0,4.8,15.2,45.6,234,66.35371768,0.434436634,20.84677781,0,1.6,11.6,31.2,94,25.4799,0.166824141,75.80139261,0,0.8,32.8,116,292.8,93.92357237,0.614944302,2.917849045,0,0,1.8,4.2,14.8,4.547970753,0.029776856,1.469421984,0,0,0,0,7,12.43566144,0.081419807,188.6381448,0,41,123.1,291.6,615.825,184.210484,1.206078353,0.464395488,0.1701311,0.222954426,0.110511996,0.401834914,0.015467969,0.007789633,0.456606939,1.644345953,0.708181255,1.541201956,0.663759554,0.013554571,0.089354784,0.009182129,0.032199114,0.024138124,0.257424744,0.150882897,0.050047648,0.018554852,0.072055608,0.012074668,0.037546948,0.005179663,0.173619598,0.005572061,0.041257918,0.007354672,0.054135279,0.024885145,0.028932701,0.021238283,0.347148383,0.237771251,0.054624322,0.04790522,0.058965236,0.012878501,0.111515678,3.275148073,0.801266752,2.762594774,0.798568978,0.147696335,364,135344,14474,10845,5228,5617,3205,6608,1032,33.56800369,1.36,7974.264706
E05000028,407.1004719,32.5,160,300,500,1200,545.8909593,2.710677316,121.99071,11,45,90,175,340.8,118.1749814,1.270970319,9.216309662,0,0.2,2.5,14,47.1,14.30213534,0.056960401,3.613582456,0,0.1,0.8,4.2,20,6.439851083,0.025647674,0.610536278,0,0.03,0.21,0.8,2.4,2.267845448,0.009032035,10.69027198,0,1.3,4,11.6,58.5,16.61369708,0.066166543,5.192411702,0,0.4,3.1,8,23.3,6.21432925,0.024749499,19.66204795,0,0.3,9,32.4,73.5,23.77843074,0.094701171,1.572323465,0,0,1,2.2,7.4,2.333133036,0.009292053,0.225424782,0,0,0,0,0,1.982448043,0.007895397,82.94678696,0,1.8,22.5,126,423.9,128.7192181,0.512643613,32.5222421,0,0.9,7.2,37.8,180,57.95865975,0.230829065,42.76108792,0,5.2,16,46.4,234,66.4547883,0.264666172,20.76964681,0,1.6,12.4,32,93.2,24.857317,0.098997997,78.6481918,0,1.2,36,129.6,294,95.11372297,0.378804683,2.919192535,0,0,1.8,4.4,14.4,4.511848482,0.017969114,1.577973477,0,0,0,0,0,13.8771363,0.055267779,186.8617916,0,42.3,128.9,288.6,560.0825,175.8998997,0.700547762,0.44389378,0.174044366,0.22883805,0.111149779,0.420889638,0.015622201,0.008444602,0.459006571,1.626538585,0.700512039,1.549773505,0.667451119,0.010114803,0.097101281,0.011550881,0.03083002,0.018540347,0.238031992,0.160413225,0.053080927,0.018830883,0.066640657,0.015780255,0.036827513,0.003656603,0.179634257,0.006076353,0.043609453,0.00928055,0.059682658,0.031566966,0.030247762,0.017460265,0.328700637,0.230514617,0.059637077,0.04826563,0.058181,0.016907615,0.118835773,3.287918936,0.80439115,2.827408193,0.817304258,0.27105502,364,365987,32138,13856,6750,7106,4180,8537,1139,32.03269342,1.29,10741.08527
E05000029,384.1738579,30,150,250,454,1500,591.8375569,4.968373049,122.2455776,11,46.875,90,175,340.8,121.4026514,2.135810618,9.700136605,0,0.2,2.5,15.8,46.7,14.57074654,0.096436412,3.96126402,0,0.1,0.8,5.1,20.5,6.895348642,0.04563683,0.533180215,0,0.01,0.2,0.79,2.2,1.499217357,0.009922562,12.93860613,0,1.5,4.8,13,63.4,18.64167774,0.12337985,4.718183539,0,0.1,2.4,7.5,21.9,5.871882376,0.038863024,20.08473383,0,0,9,35.7,75,24.52200571,0.16229877,1.550344364,0,0,1,2.2,7.7,2.400881972,0.015890225,0.200380228,0,0,0,0,0,1.849911494,0.01224363,87.30122945,0,1.8,22.5,142.2,420.3,131.1367188,0.867927709,35.65137618,0,0.9,7.2,45.9,184.5,62.05813778,0.41073147,51.7544245,0,6,19.2,52,253.6,74.56671097,0.493519398,18.87273416,0,0.4,9.6,30,87.6,23.4875295,0.155452095,80.33893533,0,0,36,142.8,300,98.08802282,0.649195082,2.868373281,0,0,1.4,4.4,14.8,4.663436062,0.030864928,1.402661596,0,0,0,0,0,12.94938046,0.085705409,190.7839338,0,41.5,131.8,306.8,558.7,181.0903241,1.198545392,0.457592145,0.186867811,0.271272447,0.098922031,0.421099061,0.015034669,0.007352095,0.496608319,1.599721654,0.688962616,1.5148476,0.65240935,0.008968507,0.088930071,0.009162977,0.026882643,0.015283069,0.217360468,0.154958418,0.038127595,0.01564913,0.066268575,0.012011394,0.064209479,0.004575769,0.216788497,0.006577668,0.046901632,0.007344109,0.052734884,0.026476643,0.027843285,0.017180524,0.304387403,0.277340091,0.046223349,0.041007819,0.047373344,0.015753708,0.14367895,3.245864884,0.794102604,2.741563267,0.79248951,0.186275928,364,126878,16223,10850,5300,5550,3023,6251,1576,36.00479263,3.38,3210.059172
E05000030,356.8826071,30,140,250,450,1000,465.2841798,3.880962923,109.9596881,13.69,45.5,75,132,340.8,108.3272641,2.036758049,9.38180791,0,0.2,2.6,14.6,46.4,13.97778945,0.09245133,3.614663387,0,0.1,0.9,4.4,20,6.32926873,0.041862794,0.566784155,0,0.03,0.21,0.8,2.2,1.410882398,0.009331801,11.3328983,0,1.4,4.2,12,59.5,17.26964721,0.114224203,5.307003291,0,0.5,3.2,8.1,23.2,6.256911742,0.041384213,19.58140284,0,0.6,10.1,28.8,72.7,23.19893777,0.153441477,1.607947229,0,0,1.1,2.2,7.7,2.402746202,0.015892147,0.168951871,0,0,0,0,0,1.555627595,0.010289169,84.43627119,0,1.8,23.4,131.4,417.6,125.8001051,0.832061972,32.53197048,0,0.9,8.1,39.6,180,56.96341857,0.376765142,45.33159318,0,5.6,16.8,48,238,69.07858883,0.456896811,21.22801316,0,2,12.8,32.4,92.8,25.02764697,0.165536851,78.32561137,0,2.4,40.4,115.2,290.8,92.79575107,0.613765907,2.963642513,0,0,1.8,4.4,14.4,4.673546681,0.030911584,1.182663096,0,0,0,0,0,10.88939317,0.072024184,188.1362013,0,44.5,127,290,559.27,176.8574485,1.16976339,0.448803955,0.172917122,0.240950933,0.112833219,0.416323976,0.015752644,0.006286207,0.527165509,1.626979937,0.700702119,1.540547417,0.663477659,0.009657786,0.090571888,0.008406063,0.024173174,0.019981626,0.240445567,0.157636656,0.047404685,0.019855305,0.086334405,0.010082683,0.037448323,0.002537896,0.189400551,0.006637575,0.039687644,0.009738172,0.061080696,0.024737671,0.027787665,0.019903822,0.340792675,0.204587596,0.059255545,0.052978896,0.066646513,0.013104222,0.1291247,3.238209688,0.792229756,2.821915127,0.815716406,0.188598822,364,129372,17522,11348,5515,5833,2747,6961,1640,37.24744448,3.45,3289.275362
E05000031,430.7444049,37,176,320,500,1500,568.8698204,2.38350959,125.4080514,10,50,100,176,340.8,120.468665,1.098936129,8.988834829,0,0.2,2.4,13.5,47.1,14.15114004,0.04781456,3.581594846,0,0.1,0.8,4.2,21,6.407971787,0.021651567,0.640982826,0,0.03,0.2,0.8,2.6,2.528261606,0.008542613,10.36428264,0,1.1,3.8,11.3,58.5,16.32868736,0.055172163,5.285969205,0,0.5,3.1,8,23.6,6.406656774,0.021647123,18.9315728,0,0.3,7.9,29.6,74,23.62012196,0.079808816,1.524507819,0,0,1,2.2,7.2,2.271276237,0.007674299,0.23115202,0,0,0,0,1.32,1.939769571,0.006554188,80.89951346,0,1.8,21.6,121.5,423.9,127.3602604,0.43033104,32.23435361,0,0.9,7.2,37.8,189,57.67174609,0.1948641,41.45713056,0,4.4,15.2,45.2,234,65.31474943,0.220688651,21.14387682,0,2,12.4,32,94.4,25.6266271,0.086588494,75.72629121,0,1.2,31.6,118.4,296,94.48048782,0.319235266,2.835239092,0,0,1.6,4.2,13.8,4.363160033,0.014742457,1.618064143,0,0,0,0,9.24,13.578387,0.045879314,182.2229847,0,41.5,118,285.4,550.7,173.6774501,0.586829813,0.443958887,0.176895103,0.227507691,0.116032985,0.415569371,0.015559174,0.008879583,0.423042024,1.640048418,0.706330408,1.561084983,0.672322707,0.013002265,0.098181894,0.01131983,0.033487332,0.021076758,0.251621174,0.144070836,0.06230389,0.023461453,0.059967009,0.017165022,0.032868746,0.003526241,0.172669245,0.005728647,0.039595498,0.009954159,0.056798302,0.027833625,0.032594607,0.01887876,0.352268331,0.207135325,0.067636413,0.055975301,0.054635944,0.016488877,0.109754515,3.310594203,0.809938666,2.820991374,0.815449382,0.277900722,364,506849,32775,12536,6241,6295,3800,7617,1119,32.66943204,1.45,8645.517241
E05000032,441.7402645,35,175,325,500,1500,623.34036,3.024797683,121.3636059,10,50,80,175,340.8,114.3545647,1.194696352,8.754267866,0,0.2,2,12.9,48,14.22711251,0.055480117,3.407319902,0,0.1,0.6,3.8,20,6.336674839,0.024710528,0.58718469,0,0.02,0.2,0.8,2.4,2.639150837,0.010291645,10.09860265,0,1.1,3.7,11,58.3,16.08957484,0.062742984,5.172699127,0,0.4,2.8,7.9,23.5,6.365136029,0.024821515,18.63479457,0,0.3,7.9,28.1,73.5,23.53379397,0.091772498,1.558606298,0,0,1,2.2,7.2,2.324865876,0.009066058,0.211085986,0,0,0,0,1.32,1.705332037,0.006650121,78.7884108,0,1.8,18,116.1,432,128.0440126,0.499321056,30.66587912,0,0.9,5.4,34.2,180,57.03007355,0.222394753,40.39441061,0,4.4,14.8,44,233.2,64.35829938,0.250971938,20.69079651,0,1.6,11.2,31.6,94,25.46054411,0.099286062,74.53917828,0,1.2,31.6,112.4,294,94.13517588,0.367089991,2.887195851,0,0,1.6,4.4,14,4.462915735,0.017403608,1.477601905,0,0,0,0,9.24,11.93732426,0.046550848,178.3831833,0,41.2,112.4,279,551,174.0726725,0.678814642,0.441680708,0.171910146,0.226447414,0.115990735,0.417859895,0.016185359,0.008283303,0.403819162,1.64030456,0.706440722,1.560818587,0.672207977,0.01145767,0.098770687,0.012901814,0.032753819,0.022863622,0.266287397,0.148703055,0.05239895,0.024009389,0.055891948,0.013932209,0.038124602,0.003158816,0.161803787,0.005895926,0.039568746,0.011477562,0.057471092,0.033002741,0.031871222,0.019999592,0.359420455,0.22648356,0.054135318,0.055229922,0.048223412,0.013587065,0.100575622,3.291758165,0.80533042,2.773428674,0.801700678,0.274131831,364,384495,30555,12738,6416,6322,4486,7599,653,28.66800126,1.09,11686.23853
E05000033,427.6455955,32.5,170,320,500,1500,591.3879494,3.86668124,122.9837845,11,47.1,90,176,396,118.815928,1.761800279,9.358966764,0,0.2,2.5,14,48.1,14.59260619,0.077038841,3.589002547,0,0.1,0.8,4.4,20.2,6.338558947,0.033463195,0.642418708,0,0.03,0.21,0.86,2.5,1.886707326,0.009960506,10.36014932,0,1.2,3.8,11.3,58.1,16.30567509,0.086082656,5.311470631,0,0.4,3.1,8.2,23.6,6.363769222,0.033596288,19.56398173,0,0.4,8.8,32,74,23.75252416,0.125396855,1.583222909,0,0,1,2.2,7.5,2.274327149,0.01200687,0.212772963,0,0,0,0,0,1.776677794,0.009379627,84.23070087,0,1.8,22.5,126,432.9,131.3334557,0.693349565,32.30102292,0,0.9,7.2,39.6,181.8,57.04703052,0.301168759,41.44059728,0,4.8,15.2,45.2,232.4,65.22270036,0.344330625,21.24588252,0,1.6,12.4,32.8,94.4,25.45507689,0.134385153,78.25592693,0,1.6,35.2,128,296,95.01009665,0.50158742,2.955597539,0,0,1.8,4.4,14.8,4.456458602,0.023527011,1.48941074,0,0,0,0,0,12.43674456,0.065657386,188.1775186,0,41.7,127.2,293.6,583.4,177.0047618,0.934462388,0.447612985,0.17165187,0.220220766,0.112903405,0.415862253,0.015706433,0.007914924,0.440031467,1.632532157,0.703093331,1.550159258,0.667617254,0.011067471,0.09471594,0.010016207,0.031990539,0.018090496,0.247090774,0.15858021,0.057695396,0.021463301,0.066740644,0.015228723,0.038159412,0.005030005,0.174334565,0.006380587,0.03515163,0.008264101,0.055662323,0.027271408,0.030720636,0.015784661,0.340462316,0.237733909,0.061623349,0.053650862,0.054838866,0.014370524,0.107881147,3.283745406,0.803370094,2.782849483,0.804423902,0.175309885,365,210016,18431,12065,5791,6274,3523,7285,1257,33.87807708,1.28,9425.78125
E05000034,392.0053243,32.5,150,300,500,1200,581.3681364,5.06009412,117.7535423,11.4,47.1,75,175,396,116.3473385,2.260717605,9.104558174,0,0.2,2.5,14.3,44.8,13.70343407,0.095432024,3.455191175,0,0.1,0.8,4.3,18.8,5.898391137,0.041076959,0.598919729,0,0.01,0.2,0.8,2.3,1.813791233,0.012631415,11.27412065,0,1.4,4.4,12,59,16.84973975,0.117343198,5.251204393,0,0.4,3.1,8,23.4,6.307885334,0.043928716,20.44286416,0,0.4,10.1,36.6,76,24.19411551,0.168490132,1.542082944,0,0,1,2.2,7.3,2.247070148,0.015648811,0.218003999,0,0,0,0,1,1.80462863,0.012567606,81.94102357,0,1.8,22.5,128.7,403.2,123.3309067,0.858888217,31.09672058,0,0.9,7.2,38.7,169.2,53.08552023,0.369692635,45.09648262,0,5.6,17.6,48,236,67.39895902,0.46937279,21.00481757,0,1.6,12.4,32,93.6,25.23154133,0.175714865,81.77145663,0,1.6,40.4,146.4,304,96.77646204,0.673960528,2.863609393,0,0,1.6,4.2,14.4,4.429807099,0.0308496,1.526027992,0,0,0,0,7,12.63240041,0.087973243,189.1069352,0,44.5,128.5,296.4,548.7,175.7250046,1.223765721,0.433305228,0.164439874,0.238470803,0.111073756,0.432408555,0.015142805,0.008069656,0.482409099,1.607229604,0.692196114,1.545616006,0.665660582,0.014204906,0.090353347,0.009524897,0.023361997,0.018808817,0.232402405,0.167262765,0.04937473,0.020901504,0.073446973,0.010640996,0.039241052,0.003893666,0.188329148,0.006075134,0.044022525,0.008155138,0.057242272,0.026356845,0.026102056,0.016811676,0.323921333,0.24574433,0.058983338,0.055004063,0.056573148,0.011830879,0.12143006,3.264843182,0.798745654,2.785772379,0.805268809,0.140650543,364,119969,13523,11629,5650,5979,3391,6873,1365,34.45678906,2,5814.5
E05000035,428.5997782,37.5,172.8,305,500,1500,588.4271221,2.172839427,128.1394544,10,50,100,200,340.8,113.7044328,0.953087475,9.407952746,0,0.2,2.5,14.3,49,14.69913261,0.0441003,3.764447414,0,0.1,0.8,4.3,21.3,6.775945987,0.020329176,0.600411895,0,0.03,0.2,0.8,2.3,2.040519296,0.006121961,11.25214691,0,1.3,4.1,11.8,58.5,17.06704595,0.051204508,5.115383141,0,0.5,2.9,7.7,23.6,6.231031919,0.018694326,19.80123078,0,0.4,8.4,35.7,74,24.18363284,0.072555674,1.707188542,0,0,1,2.3,8,3.086116394,0.009258959,0.185225097,0,0,0,0,0,1.653835688,0.004961834,84.67157471,0,1.8,22.5,128.7,441,132.2921935,0.396902701,33.88002672,0,0.9,7.2,38.7,191.7,60.98351388,0.182962583,45.00858765,0,5.2,16.4,47.2,234,68.26818379,0.204818031,20.46153256,0,2,11.6,30.8,94.4,24.92412768,0.074777304,79.20492311,0,1.6,33.6,142.8,296,96.73453135,0.290222694,3.166963669,0,0,1.6,4.4,15.6,5.992658469,0.017979159,1.29657568,0,0,0,0,0,11.57684982,0.034732835,188.8015697,0,42.2,124,299.9,568.2,179.1051125,0.537350701,0.448468595,0.179447802,0.238390961,0.10837586,0.419514113,0.016774033,0.006867399,0.440507857,1.626917858,0.700675383,1.540298309,0.663370374,0.008281929,0.094153697,0.011470907,0.034264452,0.02483402,0.252150501,0.149364205,0.048138272,0.019557497,0.053238284,0.016825096,0.033751392,0.002666503,0.194207592,0.009821111,0.037034509,0.010240032,0.0536906,0.028526149,0.031376208,0.023339365,0.350171483,0.222421446,0.050743879,0.046108154,0.047062416,0.017429239,0.12913106,3.264638767,0.798695644,2.78217291,0.804228329,0.357377037,364,634497,39417,12381,6159,6222,3234,7822,1325,34.27073742,1.63,7595.705521
E05000036,411.8878408,32.5,166.4,320,500,1280,535.4737853,2.815149315,123.9177294,10,47.1,80,175,396,125.2669144,1.525384873,9.033801145,0,0.2,2.4,13.6,48.1,14.03052275,0.060417117,3.504979457,0,0.1,0.8,4.1,20,6.154485093,0.026501953,0.615678615,0,0.06,0.2,0.8,2.4,1.670238577,0.007192248,10.34933249,0,1.2,3.7,11.2,58.5,16.23996992,0.069931262,5.411410381,0,0.6,3.2,8.3,23.7,6.41854797,0.027639039,20.01597313,0,0.6,9.2,34.8,73.4,24.08870359,0.103728853,1.588477297,0,0,1,2.2,7.7,2.380461591,0.010250554,0.215279699,0,0,0,0,0,1.902662877,0.008193095,81.3042103,0,1.8,21.6,122.4,432.9,126.2747048,0.543754055,31.54481511,0,0.9,7.2,36.9,180,55.39036584,0.238517573,41.39732995,0,4.8,14.8,44.8,234,64.95987967,0.279725049,21.64564152,0,2.4,12.8,33.2,94.8,25.67419188,0.110556156,80.06389253,0,2.4,36.8,139.2,293.6,96.35481436,0.414915411,2.95184075,0,0,1.6,4.4,14.6,4.574978052,0.019700405,1.506957892,0,0,0,0,0,13.31864014,0.057351665,187.472543,0,43.3,131.5,291.6,557,174.1905154,0.750085295,0.433685963,0.168263654,0.220818096,0.115460329,0.427069966,0.015745456,0.008038286,0.455154351,1.623852683,0.699355284,1.556761954,0.67046088,0.01043816,0.093991989,0.010404175,0.030576526,0.019138245,0.252035441,0.164146134,0.057026338,0.019992718,0.069416191,0.014123073,0.032940891,0.005301614,0.173996844,0.006801796,0.032800097,0.006869766,0.058653055,0.027242727,0.030164064,0.016859791,0.340517444,0.232755626,0.06212131,0.046324372,0.061814851,0.013684781,0.10986198,3.253721948,0.796024838,2.789364823,0.806307258,0.221510591,364,311052,22194,10813,5248,5565,3323,6354,1136,33.26773328,1.84,5876.630435
E05000037,408.7072969,32.5,160,300,500,1300,569.0789688,4.456274614,120.8095025,10,47.1,90,175,340.8,112.6117728,1.980436684,9.372420184,0,0.2,2.6,14,49,14.65541733,0.092809824,3.620565295,0,0.1,0.9,4.2,21,6.504236813,0.04119003,0.616145768,0,0.03,0.2,0.8,2.5,1.688199186,0.010691027,11.02802181,0,1.2,4.1,11.8,59.5,16.95628944,0.107380786,5.263227197,0,0.5,3.1,8.1,23.5,6.318213614,0.040011982,19.7132611,0,0.4,9,32,74,23.92058405,0.15148427,1.586800468,0,0,1,2.2,7.7,2.362865849,0.014963556,0.186382837,0,0,0,0,0,1.651240804,0.010456977,84.35178166,0,1.8,23.4,126,441,131.898756,0.835288416,32.58508765,0,0.9,8.1,37.8,189,58.53813132,0.370710266,44.11208723,0,4.8,16.4,47.2,238,67.82515778,0.429523146,21.05290879,0,2,12.4,32.4,94,25.27285446,0.160047928,78.85304441,0,1.6,36,128,296,95.6823362,0.60593708,2.933267285,0,0,1.6,4.4,14.8,4.510092273,0.028561511,1.304679862,0,0,0,0,0,11.55868563,0.073198842,188.495682,0,42.3,124.5,296.1,582.1,178.3526507,1.129471631,0.447499809,0.172869146,0.234021739,0.111689077,0.418328121,0.015561456,0.006921537,0.461199698,1.624007053,0.699421768,1.541409329,0.663848864,0.008550424,0.094864487,0.010937812,0.032277063,0.017847565,0.245091131,0.156568472,0.055509397,0.022191138,0.068929251,0.01537604,0.037398904,0.003723063,0.179043572,0.006036831,0.036504948,0.009149901,0.062782214,0.029147146,0.028675022,0.016086245,0.339090968,0.220179304,0.062756128,0.05357297,0.059524407,0.015154359,0.113031237,3.276432596,0.801581011,2.818181835,0.814637243,0.16414267,364,144490,13671,10811,5165,5646,3177,6522,1112,33.96068819,1.25,8648.8
E05000038,410.2683963,30,150,300,500,1300,591.3499088,4.52897469,114.2448875,11,40,75,175,340.8,110.2016639,1.817069876,9.293427491,0,0.2,2.6,14,48.1,14.52104213,0.086951482,3.51540132,0,0.1,0.7,4.1,20,6.23462433,0.037332708,0.612737639,0,0.03,0.2,0.82,2.2,1.967686138,0.011782434,10.97534099,0,1.4,4.1,11.8,58.3,16.77538137,0.100450385,5.288681153,0,0.5,3.2,8.4,23.5,6.192282408,0.037079166,20.92394292,0,0.5,10,41.2,73,24.37844668,0.145977269,1.620378387,0,0,1.1,2.2,7.7,2.391293588,0.014318981,0.163411257,0,0,0,0,0,1.466295047,0.008780122,83.64084742,0,1.8,23.4,126,432.9,130.6893792,0.782563338,31.63861188,0,0.9,6.3,36.9,180,56.11161897,0.335994372,43.90136395,0,5.6,16.4,47.2,233.2,67.10152549,0.40180154,21.15472461,0,2,12.8,33.6,94,24.76912963,0.148316664,83.69577166,0,2,40,164.8,292,97.51378672,0.583909075,3.005404008,0,0,1.8,4.4,15,4.65536337,0.02787615,1.143878797,0,0,0,0,0,10.26406533,0.061460857,192.6406265,0,43,131.8,299.2,582.1,178.3104623,1.067716684,0.434180728,0.164236446,0.227892552,0.109814451,0.43446584,0.015601091,0.00593789,0.469547809,1.59789662,0.688176616,1.532639654,0.660071971,0.011744069,0.09489996,0.010374553,0.029435215,0.021490146,0.239993621,0.185297401,0.042333055,0.018844916,0.062481826,0.01216618,0.032136726,0.00302044,0.182933578,0.006144062,0.040119317,0.006584933,0.062161284,0.028789193,0.032292118,0.018307386,0.324047172,0.248746107,0.050932925,0.04950378,0.049506901,0.012392234,0.123320901,3.220067729,0.787791316,2.787158851,0.805669589,0.138115692,364,155282,16092,11636,5654,5982,3609,6926,1101,32.89214507,3.15,3693.968254
